Country Name,Country Code,Series Name,Series Code,1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005]
"Gambia, The",GMB,GDP (constant 2000 US$),NY.GDP.MKTP.KD,397065377.7,410255468.9,407118728.2,451426386.6,467385473.2,463589061.7,482554820,494398323.2,516531677,546984951.4,566451483.7,584051354.5,603784633.8,621971234.5,622931223.8,628424534,642397837.2,673875324.4,697460950.4,742098451.3,782913866.1,828322870.3,801402373.9,856458717,916839056.6,908205401.8
Ghana,GHA,GDP (constant 2000 US$),NY.GDP.MKTP.KD,2642708125,2550132277,2373570036,2265246525,2461135287,2586446893,2720920407,2851385785,3011866617,3165046314,3270404952,3443142056,3576715969,3750186694,3873942855,4033255614,4218884629,4395924126,4602549739,4805061769,4982849054,5182163016,5415360352,5696959090,6015988799,6370932370
Kenya,KEN,GDP (constant 2000 US$),NY.GDP.MKTP.KD,7085429066,7352800864,7463569211,7561271081,7693987795,8024872496,8600862166,9111504593,9676707971,10130579325,10555258374,10707079594,10621477139,10658991905,10939620194,11421643547,11895280746,11951771663,12345010494,12629610958,12705350153,13185600509,13257707222,13646486244,14343043811,15190239515
Liberia,LBR,GDP (constant 2000 US$),NY.GDP.MKTP.KD,1311939183,1283906342,1252669655,1228908391,1203011404,1192866130,1172842709,1161095576,1137387192,834063605.4,408433749.2,350333183.5,227416400,152424951.8,119253700.6,114166085.4,128004398.7,264047229.5,342469244.5,420894710.9,529064646.7,645965994,851981180.5,572257769.3,543016589.6,594501708.3
Madagascar,MDG,GDP (constant 2000 US$),NY.GDP.MKTP.KD,3098742275,2798201819,2747548933,2772334746,2819594150,2852185195,2908062519,2942321983,3042461470,3166560211,3265674477,3059625623,3095917443,3160825204,3158561792,3212643103,3281680074,3402888685,3536701716,3701480742,3877673635,4111025225,3590002598,3941280479,4148473736,4339423007
Malawi,MWI,GDP (constant 2000 US$),NY.GDP.MKTP.KD,999776477.4,946887109.8,970591991.1,1006685484,1060646887,1109128868,1106746431,1124733708,1160469774,1176074491,1243020115,1351538653,1252430619,1373814194,1233133124,1439421715,1544739617,1603322617,1665776100,1716453641,1743506287,1656767479,1684932526,1777603815,1863846712,1916775825
Mali,MLI,GDP (constant 2000 US$),NY.GDP.MKTP.KD,1535991970,1468230973,1400139493,1467317719,1531433635,1357519184,1472030136,1464401556,1486096462,1660916480,1630145080,1656489249,1794528807,1756136596,1772155408,1882188622,1942765100,2074117272,2199251135,2347366587,2422482318,2715602678,2828390318,3038862014,3105276958,3294071411
Mauritius,MUS,GDP (constant 2000 US$),NY.GDP.MKTP.KD,1519348473,1608721913,1697154579,1703668179,1783713081,1907760968,2093615679,2279759883,2434586280,2543294177,2726074033,2846987582,3032403303,3186511947,3318310635,3460591055,3653963481,3861781830,4096216243,4203159419,4582562398,4700497863,4799834109,4975357150,5261229604,5326541854
Niger,NER,GDP (constant 2000 US$),NY.GDP.MKTP.KD,1523445073,1532721562,1557599200,1483598546,1233977824,1329272303,1413814378,1414868465,1512481962,1526607472,1507000407,1544738760,1444076715,1465007710,1523674847,1563378094,1616831446,1661358428,1834509565,1824075639,1798365123,1926127106,1983894009,2089040391,2091129432,2185230256
Nigeria,NGA,GDP (constant 2000 US$),NY.GDP.MKTP.KD,31451738768,27322792092,27258666778,25815460907,24571584326,26956196169,27633761238,27440226403,30156667433,32328043289,34977654925,36641050128,37710320431,38539752621,38578292374,39542749684,41243087920,42356651294,43152718564,43627561286,45983449595,47408936533,48143264350,53102020579,58730834760,61902299837
